"","individual","first_dist.x","origin","morph","release_condition","fate","performance","assay_weight","pr_weight","release_easting","release_northing","first_night_easting","first_night_northing","first_night_dist","days_to_settle","den_shared_days","dens_used","moved_dens","mean_dist","mean_dist_zero","hr100","perf","i_emerge","s_emerge","i_food","s_food","i_active","s_active","i_vigil","s_vigil","i_out","s_out","i_hid","s_hid","i_gud","s_gud","i_trigpass","s_trigpass","first_dist.y","area","hr95","individual","i_pro_pca","individual","s_pro_pca","individual","i_rea_pca","individual","s_rea_pca","by"
"1","EQ18",171.230838344032,"Captive","Fawn","Good",1,3,-12.6666666666667,10.4325699745547,697084,6106399,697018,6106241,171.2308,5,3,9,13,95.59033027,318.6344342,21.28345,"Good",7.18688931577695,-1.2565637292593,1.91289406561053,-0.569181164779519,-1.99262440836123,0.13633067722901,-1.39721582868781,0.210006405609897,-1.92928273146963,0.174954591607049,1.92928273146963,-0.174954591607049,10.3658922014024,-1.7271078671269,-1.49110231415058,0.138465896935694,171.230838344032,16.3152,16.3152,"EQ18",0.91260473492134,"EQ18",-1.58044862001456,"EQ18",1.14612347558789,"EQ18",-1.12452792993761,"individual"
"2","EQ19",475.925414324556,"Captive","Dark","Good",1,2,-3.33333333333333,7.54310344827587,697084,6106299,697233,6105847,475.9254,17,5,13,21,194.8836805,389.767361,36.91955,"Fair",-2.17099082483904,0.114667212585245,8.22638634640114,0.312912484828956,-1.60553634531078,0.020214284144393,-0.0520897703266647,0.0364959159062407,-1.1513633803714,0.0279527277341423,1.1513633803714,-0.0279527277341424,-4.07208692059935,0.200121630811641,-0.674381788145178,-0.00253208206269416,475.925414324556,13.40165,13.40165,"EQ19",-0.825719352412437,"EQ19",0.694560503673354,"EQ19",0.66737993017678,"EQ19",0.740699975359092,"individual"
"3","EQ20",142.021125189177,"Captive","Dark","Good",0,1,-4.35233160621762,-9.75081256771398,697134,6106349,697151,6106490,142.0211,NA,0,7,6,177.5310871,213.0373045,NA,"Poor",-0.774618407582172,0.0809446213922724,0.463404474517221,0.0460531601431442,-0.711196358496016,0.133664326158041,-3.10366308244122,0.339081815912481,-1.66666253566305,0.221538086061786,1.66666253566305,-0.221538086061787,-4.44013672778535,1.1758027396827,-1.20710763880587,0.157157481926512,142.021125189177,2.8053,2.8053,"EQ20",-1.02280027016436,"EQ20",1.03355272213412,"EQ20",-0.367148098135435,"EQ20",0.382279124804252,"individual"
"4","EQ21",589.909315064612,"Captive","Fawn","Good",1,2,-11.3333333333333,6.89223057644111,697034,6106349,697546,6106056,589.9093,13,13,9,14,212.3448821,653.3688679,63.771,"Fair",-7.48201899625068,1.08266578915562,-15.2055288120024,2.16419804621225,2.68683532542245,-0.0219629811415603,-3.63049536108546,0.688645320463553,0.530937026842143,0.243078639780766,-0.530937026842123,-0.243078639780769,6.274079736129,-0.643294581120882,4.17030138480666,-0.206441077698994,589.909315064612,15.5663,15.5663,"EQ21",1.05935380883606,"EQ21",-0.758350201566326,"EQ21",-3.46868267892785,"EQ21",2.61249926983656,"individual"
"5","EQ22",477.980125109821,"Captive","Dark","Good",1,2,-3.08571428571429,9.43396226415094,697084,6106399,697528,6106222,477.9801,8,18,5,15,73.48173835,209.9478238,3.6401,"Fair",5.21951190206961,-2.16612748001903,3.88181572856602,-1.749432618601,6.42425338654289,-0.569187739771666,-4.26518434649416,1.38295138164255,2.92728710365657,0.11800504307453,-2.92728710365656,-0.118005043074531,5.07151465377384,-1.48893753192344,8.37158834727179,-0.959502267602825,477.980125109821,1.42545,1.42545,"EQ22",1.5801743648684,"EQ22",-1.18168647102825,"EQ22",0.895653496421268,"EQ22",-3.26915300092889,"individual"
"6","EQ23",410.026828390533,"Captive","Fawn","Good",1,2,-11.358024691358,8.35654596100279,697084,6106299,697493,6106270,410.0268,5,33,6,8,66.30703676,359.9524853,12.8349,"Fair",-2.5566506479234,-0.349448198348311,-4.33068802048679,-0.380595301631939,3.76871512568589,0.217970881207921,-3.18729149031688,0.0611676854588177,1.46000344343784,0.176622462802168,-1.46000344343784,-0.176622462802169,-5.13801183957593,-0.209741041940115,2.31350411653553,0.317829991873184,410.026828390533,12.7549,12.7549,"EQ23",-0.224963034555683,"EQ23",-0.145312151901754,"EQ23",-1.26973552105274,"EQ23",-0.164828302578337,"individual"
"7","EQ24",991.213902243103,"Wild","Fawn","Fair",1,3,-14.2528735632184,45.8445040214477,697134,6106349,696158,6106176,991.2139,6,4,6,12,191.5323047,679.0690803,37.7481,"Good",3.57476625763714,-1.19250827275243,4.73287296056915,-1.00134722554058,-0.799780134775539,0.0745001933610042,0.514835689504211,-0.304043014804543,-0.370494371959848,-0.0616389557234793,0.370494371959844,0.0616389557234803,-1.90343221286953,0.409894179147569,-0.709589835492923,-0.137724649095506,991.213902243103,37.7481,37.7481,"EQ24",-0.30833606353765,"EQ24",1.16535959261342,"EQ24",1.11495871739498,"EQ24",-1.15882452475511,"individual"
"9","EQ26",591.041453706929,"Wild","Fawn","Fair",1,3,-10.625,15.7342657342657,697034,6106349,697545,6106052,591.0415,5,21,4,9,38.71182427,193.5591214,3.16225,"Good",0.00506947656408618,0.236927527770402,2.91336322156466,-1.00208317700578,-0.900077218498093,0.00540362336413725,-2.60565664369411,0.517554497123994,-1.61282880715748,0.198132067667654,1.61282880715748,-0.198132067667654,-0.170945140928148,0.148060365137689,-0.772940336397007,0.0318270748423779,591.041453706929,3.16225,3.16225,"EQ26",-0.427756812861798,"EQ26",0.129061730161262,"EQ26",0.108223210098176,"EQ26",-0.335360619900919,"individual"
"10","EQ27",577.000866550476,"Wild","Dark","Good",1,3,-19.8173515981735,11.9589977220957,697084,6106399,697545,6106052,577.0009,3,37,5,8,162.1165562,880.0613048,68.53725,"Good",1.19195716748109,-0.0935204164168478,-0.340121439264683,0.271819254318611,-0.856519779190497,0.217708302355875,-2.36479962504867,0.868819212772208,-1.49169043112544,0.479681058900086,1.49169043112545,-0.479681058900086,0.900494998260512,-0.514411216440269,-0.71373022145227,0.242403023847761,577.000866550476,19.34925,19.34925,"EQ27",-0.247693219039338,"EQ27",-1.35354149520315,"EQ27",-0.122085211074767,"EQ27",0.166433906190351,"individual"
"11","EQ28",37.3363094051889,"Wild","Fawn","Good",1,3,-10.1657458563536,15.3751537515375,697084,6106299,697119,6106312,37.33631,7,1,7,14,126.0557375,387.8638076,27.91055,"Good",0.0985764294840656,0.122944004596829,1.26900514530459,-0.434980855778759,-0.332998096769673,-0.0273314125219353,0.555499633580514,-0.71647169006305,-0.0261735686256652,-0.288275979306631,0.026173568625667,0.288275979306631,-0.170945140928148,0.148060365137689,-0.461832075789189,-0.43842501779262,37.3363094051889,12.92155,12.92155,"EQ28",0.0251988914155379,"EQ28",1.60414119178108,"EQ28",0.141393847606179,"EQ28",0.535075135376779,"individual"
"12","EQ29",39.9249295553543,"Wild","Fawn","Good",0,1,-10.1234567901235,0,697134,6106349,697119,6106312,39.92493,NA,1,1,NA,NA,NA,NA,"Poor",-1.11949287453435,0.782107634816597,0.226746765521084,0.693647889560186,-0.698793559514603,-0.0624538211608332,-1.04051899379598,-0.0224015077377232,-0.88328394134533,-0.05243709852789,0.883283941345328,0.0524370985278911,-0.474123673370497,3.28564666371445e-16,-1.21799553039693,-0.0202522408586598,39.9249295553543,NA,NA,"EQ29",-0.260653438997761,"EQ29",0.748406865972691,"EQ29",-0.29682201604612,"EQ29",1.60157974227613,"individual"
"13","EQ30",923.906921718849,"Wild","Fawn","Good",0,1,-11.6062176165803,7.62016412661195,697034,6106349,696144,6106597,923.9069,5,0,3,3,85.46550087,213.6637522,NA,"Poor",4.80664811291425,-0.371089071923676,1.61861132589381,-0.0818575641026823,-4.72595045450374,0.30730741434068,-12.1916657145836,0.857086329589826,-7.90903383949111,0.538437718999135,7.9090338394911,-0.538437718999135,-0.474123673370498,1.65827694563627e-16,-3.06065035667491,0.193068618025435,923.906921718849,0.1552,0.1552,"EQ30",-2.26635285996068,"EQ30",-1.04347818433478,"EQ30",-0.051655694153689,"EQ30",-0.318568693505451,"individual"
"14","EQ31",507.567729470659,"Wild","Fawn","Good",1,2,-13.3333333333333,6.41025641025641,697084,6106399,697108,6106906,507.5677,4,4,11,20,235.3938741,495.5660508,125.3185,"Fair",9.90335584942628,-0.48000965191764,-0.24239773786896,0.240960153393619,0.924510431312265,-0.186950526383451,1.70858216342603,-0.277295706795692,1.29323398128604,-0.23590318855039,-1.29323398128604,0.23590318855039,11.6501646417612,-0.650115505097751,3.10956410449864,-0.360274556327192,507.567729470659,90.62875,90.62875,"EQ31",2.00694325148837,"EQ31",0.687734517712894,"EQ31",1.50239654210532,"EQ31",0.332695917763151,"individual"
